account_id,churn_flag,churn_probability,risk_level,plan_tier,industry,mrr_amount,arr_amount,billing_frequency,expected_mrr_at_risk,expected_arr_at_risk,top_risk_increasing,top_risk_decreasing,top_feature,action_category,suggested_action,urgency
A-2e4581,False,0.3365804389373149,Medium,Basic,EdTech,836,10032,monthly,281.38124695159524,3376.574963419143,tenure_months (+0.614); tenure_days (+0.613); country_US (+0.200),engagement_trend_ratio (-0.837); total_errors (-0.430); referral_source_partner (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-43a9e3,True,0.4434628929104178,Medium,Basic,FinTech,882,10584,monthly,391.1342715469885,4693.611258563862,engagement_trend_ratio (+0.494); total_errors (+0.484); country_IN (+0.328),total_usage_count (-0.530); tenure_months (-0.495); tenure_days (-0.494),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-0a282f,False,0.6568072436558366,Medium,Basic,DevTools,98,1176,annual,64.36710987827199,772.4053185392639,total_usage_count (+1.291); industry_DevTools (+0.654); tenure_months (+0.484),total_errors (-0.810); engagement_trend_ratio (-0.607); distinct_features_used (-0.226),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-1f0ac7,False,0.324267057470057,Medium,Basic,HealthTech,1176,14112,monthly,381.3380595847871,4576.056715017445,engagement_trend_ratio (+0.635); industry_HealthTech (+0.358); country_UK (+0.227),tenure_months (-0.469); tenure_days (-0.468); total_usage_count (-0.425),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-ce550d,True,0.7946066353123872,High,Enterprise,HealthTech,21691,260292,monthly,17235.81252656099,206829.75031873188,tenure_months (+0.651); tenure_days (+0.649); referral_source_event (+0.390),engagement_trend_ratio (-0.924); industry_DevTools (-0.195); total_errors (-0.163),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Act this week
A-1b9609,False,0.3787171071135779,Medium,Enterprise,EdTech,0,0,annual,0.0,0.0,engagement_trend_ratio (+0.968); country_IN (+0.328); total_errors (+0.217),tenure_months (-0.349); tenure_days (-0.349); days_since_last_activity (-0.316),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-a0ca4e,False,0.4459518139805035,Medium,Pro,Cybersecurity,5174,62088,monthly,2307.354685535125,27688.2562264215,total_errors (+0.484); country_US (+0.200); escalation_count (+0.119),total_usage_count (-0.460); industry_DevTools (-0.195); plan_tier_Pro (-0.104),total_errors,Support/Technical,Technical support outreach — elevated error activity; proactively offer troubleshooting help,Monitor / act within the month
A-e5d6ab,False,0.2709385458197732,Low,Pro,EdTech,1568,18816,annual,424.8316398454044,5097.979678144853,engagement_trend_ratio (+1.703); country_US (+0.200); total_errors (+0.141),tenure_months (-0.818); tenure_days (-0.817); total_usage_count (-0.425),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,No action needed
A-7dacce,True,0.4364726111995549,Medium,Enterprise,Cybersecurity,0,0,annual,0.0,0.0,tenure_months (+0.531); tenure_days (+0.530); referral_source_event (+0.390),engagement_trend_ratio (-0.824); upgrade_flag (-0.348); country_US (-0.312),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-10b8da,True,0.3024591814439517,Medium,Enterprise,DevTools,1666,19992,monthly,503.8969962856235,6046.763955427482,industry_DevTools (+0.654); engagement_trend_ratio (+0.649); total_errors (+0.484),total_usage_count (-0.913); tenure_months (-0.758); tenure_days (-0.757),industry_DevTools,Segment-Level,Not an individually actionable behavior — this account's industry segment shows elevated structural risk; consider segment-level strategy (tailored onboarding or pricing for this vertical) rather than one-off outreach,Monitor / act within the month
A-592832,True,0.4405504772687067,Medium,Basic,Cybersecurity,882,10584,annual,388.5655209509993,4662.786251411992,total_usage_count (+2.197); tenure_months (+0.789); tenure_days (+0.787),usage_rate_per_day (-1.342); total_errors (-1.077); engagement_trend_ratio (-0.831),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-d40bf7,False,0.3977247292954007,Medium,Basic,FinTech,1121,13452,monthly,445.8494215401442,5350.19305848173,tenure_months (+0.674); tenure_days (+0.673); country_IN (+0.328),engagement_trend_ratio (-1.028); country_US (-0.312); days_since_last_activity (-0.302),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-6c093d,False,0.6214244392239666,Medium,Basic,DevTools,0,0,annual,0.0,0.0,engagement_trend_ratio (+1.111); total_usage_count (+0.701); industry_DevTools (+0.654),tenure_months (-0.821); tenure_days (-0.819); referral_source_partner (-0.195),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-462d45,False,0.3245855269308421,Medium,Enterprise,Cybersecurity,1470,17640,annual,477.1407245883379,5725.688695060055,total_usage_count (+0.591); country_US (+0.200); referral_source_organic (+0.082),engagement_trend_ratio (-0.339); referral_source_partner (-0.195); industry_DevTools (-0.195),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-956988,False,0.3428372916113839,Medium,Enterprise,EdTech,6368,76416,annual,2183.1878729812925,26198.25447577551,tenure_months (+0.731); tenure_days (+0.730); total_usage_count (+0.654),engagement_trend_ratio (-0.993); total_errors (-0.849); country_US (-0.312),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
A-ac14bb,False,0.1157211204290245,Low,Enterprise,FinTech,532,6384,annual,61.56363606824103,738.7636328188923,country_US (+0.200); industry_FinTech (+0.185); total_usage_count (+0.157),total_errors (-0.582); tenure_months (-0.438); tenure_days (-0.437),country_US,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,No action needed
A-463db0,False,0.7284915276457621,High,Basic,HealthTech,735,8820,annual,535.4412728196352,6425.295273835622,tenure_months (+0.744); tenure_days (+0.743); total_errors (+0.522),engagement_trend_ratio (-0.939); total_usage_count (-0.483); referral_source_partner (-0.195),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Act this week
A-ce66f8,False,0.3827844148553754,Medium,Pro,EdTech,1421,17052,annual,543.9366535094885,6527.239842113861,referral_source_event (+0.390); total_errors (+0.293); country_CA (+0.256),tenure_months (-0.480); tenure_days (-0.479); country_US (-0.312),referral_source_event,Segment-Level,Not an individually actionable behavior — this account's acquisition channel shows elevated structural risk; consider reviewing onboarding quality for this channel rather than one-off outreach,Monitor / act within the month
A-c4ea60,True,0.3030280000494459,Medium,Enterprise,FinTech,3582,42984,monthly,1085.4462961771153,13025.355554125385,country_DE (+0.814); engagement_trend_ratio (+0.629); total_errors (+0.332),tenure_months (-0.914); tenure_days (-0.913); country_US (-0.312),country_DE,Segment-Level,Not an individually actionable behavior — this account's region shows elevated structural risk; consider region-specific support/localization review rather than one-off outreach,Monitor / act within the month
A-832ec2,False,0.5690377206034625,Medium,Enterprise,FinTech,4378,52536,annual,2491.2471408019587,29894.965689623503,engagement_trend_ratio (+0.580); referral_source_event (+0.390); country_UK (+0.227),upgrade_flag (-0.348); country_US (-0.312); tenure_months (-0.250),engagement_trend_ratio,Engagement,Proactive check-in — usage has been trending down; offer a refresher demo or usage walkthrough,Monitor / act within the month
A-684255,False,0.3864118299594272,Medium,Enterprise,FinTech,0,0,annual,0.0,0.0,total_usage_count (+0.634); country_US (+0.200); industry_FinTech (+0.185),total_errors (-0.658); engagement_trend_ratio (-0.319); industry_DevTools (-0.195),total_usage_count,Engagement,Usage education — send feature tips or a re-onboarding session to lift day-to-day usage,Monitor / act within the month
A-c42f1f,False,0.3652241468721384,Medium,Pro,HealthTech,152,1824,monthly,55.51407032456503,666.1688438947804,tenure_months (+0.406); tenure_days (+0.405); industry_HealthTech (+0.358),engagement_trend_ratio (-0.958); total_usage_count (-0.600); days_since_last_activity (-0.600),tenure_months,Relationship,Loyalty/retention check-in — tenure-related risk signal; a relationship-focused outreach from account management,Monitor / act within the month
