account_id,churn_flag,churn_probability,risk_level,plan_tier,industry,mrr_amount,arr_amount,billing_frequency,expected_mrr_at_risk,expected_arr_at_risk
A-2e4581,False,0.3365804389373149,Medium,Basic,EdTech,836,10032,monthly,281.38124695159524,3376.574963419143
A-43a9e3,True,0.4434628929104178,Medium,Basic,FinTech,882,10584,monthly,391.1342715469885,4693.611258563862
A-0a282f,False,0.6568072436558366,Medium,Basic,DevTools,98,1176,annual,64.36710987827199,772.4053185392639
A-1f0ac7,False,0.324267057470057,Medium,Basic,HealthTech,1176,14112,monthly,381.33805958478706,4576.056715017445
A-ce550d,True,0.7946066353123872,High,Enterprise,HealthTech,21691,260292,monthly,17235.81252656099,206829.75031873188
A-1b9609,False,0.3787171071135779,Medium,Enterprise,EdTech,0,0,annual,0.0,0.0
A-a0ca4e,False,0.4459518139805035,Medium,Pro,Cybersecurity,5174,62088,monthly,2307.354685535125,27688.2562264215
A-e5d6ab,False,0.2709385458197732,Low,Pro,EdTech,1568,18816,annual,424.8316398454044,5097.979678144853
A-7dacce,True,0.4364726111995549,Medium,Enterprise,Cybersecurity,0,0,annual,0.0,0.0
A-10b8da,True,0.3024591814439517,Medium,Enterprise,DevTools,1666,19992,monthly,503.8969962856235,6046.763955427482
A-592832,True,0.4405504772687067,Medium,Basic,Cybersecurity,882,10584,annual,388.5655209509993,4662.7862514119915
A-d40bf7,False,0.3977247292954007,Medium,Basic,FinTech,1121,13452,monthly,445.8494215401442,5350.19305848173
A-6c093d,False,0.6214244392239666,Medium,Basic,DevTools,0,0,annual,0.0,0.0
A-462d45,False,0.3245855269308421,Medium,Enterprise,Cybersecurity,1470,17640,annual,477.1407245883379,5725.688695060055
A-956988,False,0.3428372916113839,Medium,Enterprise,EdTech,6368,76416,annual,2183.1878729812925,26198.25447577551
A-ac14bb,False,0.1157211204290245,Low,Enterprise,FinTech,532,6384,annual,61.56363606824103,738.7636328188923
A-463db0,False,0.7284915276457621,High,Basic,HealthTech,735,8820,annual,535.4412728196352,6425.295273835622
A-ce66f8,False,0.3827844148553754,Medium,Pro,EdTech,1421,17052,annual,543.9366535094885,6527.239842113861
A-c4ea60,True,0.3030280000494459,Medium,Enterprise,FinTech,3582,42984,monthly,1085.4462961771153,13025.355554125383
A-832ec2,False,0.5690377206034625,Medium,Enterprise,FinTech,4378,52536,annual,2491.2471408019587,29894.965689623503
A-684255,False,0.3864118299594272,Medium,Enterprise,FinTech,0,0,annual,0.0,0.0
A-c42f1f,False,0.3652241468721384,Medium,Pro,HealthTech,152,1824,monthly,55.51407032456503,666.1688438947804
A-4e44e8,True,0.6671780525484906,Medium,Enterprise,DevTools,3383,40596,annual,2257.0633517715437,27084.760221258526
A-30b4ca,True,0.376358617932638,Medium,Basic,EdTech,1634,19608,annual,614.9699817019305,7379.639780423166
A-9f2731,False,0.57044382143848,Medium,Enterprise,FinTech,0,0,annual,0.0,0.0
A-32fb14,True,0.7692745843040619,High,Enterprise,DevTools,5174,62088,annual,3980.2266991892166,47762.720390270595
A-00cac8,False,0.2268966163405309,Low,Enterprise,HealthTech,931,11172,annual,211.24074981303428,2534.8889977564113
A-35083d,True,0.2883376304406055,Low,Basic,HealthTech,9751,117012,monthly,2811.5802344263443,33738.96281311613
A-eb7fac,False,0.3261264585203582,Medium,Enterprise,DevTools,494,5928,monthly,161.10647050905695,1933.2776461086835
A-b20d99,False,0.1203910525659086,Low,Basic,HealthTech,3980,47760,monthly,479.1563892123162,5749.876670547795
A-396e5f,False,0.6784143386978622,Medium,Enterprise,Cybersecurity,1666,19992,monthly,1130.2382882706383,13562.85945924766
A-45ce7a,False,0.2563418646903873,Low,Enterprise,FinTech,3184,38208,monthly,816.1924971741931,9794.309966090317
A-08e34e,True,0.7746125416683408,High,Basic,EdTech,2786,33432,monthly,2158.0705410879973,25896.84649305597
A-8145a0,False,0.4088128454471812,Medium,Basic,Cybersecurity,285,3420,monthly,116.51166095244665,1398.1399314293596
A-bad8c1,False,0.4931398024712693,Medium,Basic,FinTech,1813,21756,monthly,894.0624618804113,10728.749542564936
A-44dc83,False,0.305165626337662,Medium,Basic,EdTech,0,0,annual,0.0,0.0
A-f446b6,False,0.5968155952674927,Medium,Pro,DevTools,95,1140,annual,56.69748155041181,680.3697786049418
A-a45270,False,0.4036336420106194,Medium,Enterprise,HealthTech,0,0,annual,0.0,0.0
A-854864,False,0.6870070042029148,Medium,Enterprise,FinTech,980,11760,annual,673.2668641188566,8079.202369426278
A-1b7577,False,0.5835406030410101,Medium,Pro,Cybersecurity,2009,24108,monthly,1172.3330715093891,14067.99685811267
A-05f0e5,False,0.3190158957285933,Medium,Basic,FinTech,2842,34104,annual,906.6431756606621,10879.718107927945
A-9077b0,False,0.4147176460351142,Medium,Basic,HealthTech,0,0,monthly,0.0,0.0
A-7f8241,True,0.2259628162406803,Low,Pro,EdTech,6766,81192,monthly,1528.8644146844429,18346.372976213315
A-2bc93d,False,0.568774061972765,Medium,Basic,HealthTech,1715,20580,monthly,975.447516283292,11705.370195399504
A-f3ff05,False,0.5205508549377215,Medium,Enterprise,FinTech,570,6840,monthly,296.71398731450125,3560.567847774015
A-2d4502,False,0.4852132538375429,Medium,Basic,FinTech,6766,81192,annual,3282.952875464815,39395.43450557778
A-6a4e2d,False,0.2536306934785505,Low,Pro,EdTech,686,8232,annual,173.99065572628564,2087.887868715428
A-eb7c38,False,0.4988827886664889,Medium,Enterprise,DevTools,627,7524,annual,312.79950849388854,3753.5941019266625
