account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,plan_tier_sub,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,upgrade_flag,downgrade_flag,total_usage_count,total_usage_duration_secs,total_errors,distinct_features_used,ticket_count,avg_satisfaction,avg_resolution_hours,escalation_count,tenure_days,tenure_bucket,usage_bucket,mrr_bucket,churn_date,last_activity_date,days_since_last_activity,usage_rate_per_day,feature_breadth_ratio,tenure_months,support_tickets_per_month,clv_proxy,engagement_trend_ratio,has_support_tickets
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,Basic,836,10032,monthly,True,False,False,535,152339,38,50,2.0,3.0,23.0,0.0,76,0-3mo,Medium-High,Medium-Low,,2024-12-10,21,7.0394736842105265,1.25,2.533333333333333,0.7894736842105263,2117.866666666667,0.06573705179282868,1
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,Pro,882,10584,monthly,True,False,False,355,101136,14,32,3.0,4.0,38.0,0.0,502,1-2yr,Low,Medium-Low,,2024-12-29,2,0.7071713147410359,0.8,16.733333333333334,0.1792828685258964,14758.800000000001,0.5236051502145923,1
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,Pro,98,1176,annual,True,False,False,821,251210,48,78,3.0,4.666666666666667,43.66666666666666,0.0,126,0-3mo,High,Low,,2024-12-22,9,6.515873015873016,1.95,4.2,0.7142857142857143,411.6,0.14504881450488144,1
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,Pro,1176,14112,monthly,True,True,False,382,102528,21,38,2.0,4.0,29.0,0.0,492,1-2yr,Medium-Low,Medium-High,,2024-12-11,20,0.7764227642276422,0.95,16.4,0.12195121951219513,19286.399999999998,0.5720164609053497,1
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,Enterprise,21691,260292,monthly,True,False,False,579,215779,31,58,7.0,3.8,42.285714285714285,1.0,62,0-3mo,Medium-High,High,2024-12-28,2024-12-23,8,9.338709677419354,1.45,2.066666666666667,3.387096774193548,44828.06666666667,0.03577817531305903,1
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,Enterprise,0,0,annual,True,False,False,457,140541,21,45,4.0,3.0,43.0,0.0,446,1-2yr,Medium-Low,Low,,2024-11-20,41,1.0246636771300448,1.125,14.866666666666667,0.26905829596412556,0.0,0.6863468634686347,1
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,Enterprise,5174,62088,monthly,True,False,False,373,116964,14,38,6.0,3.8,39.16666666666666,3.0,298,6-12mo,Low,High,,2024-12-17,14,1.2516778523489933,0.95,9.933333333333334,0.6040268456375839,51395.066666666666,0.3274021352313167,1
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,Pro,1568,18816,annual,True,False,False,382,111506,23,39,3.0,4.0,42.66666666666666,0.0,626,0-3mo,Medium-Low,Medium-High,,2024-12-02,29,0.610223642172524,0.975,20.866666666666667,0.14376996805111822,32718.933333333334,0.9390862944162437,1
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,Pro,0,0,annual,True,True,False,472,145429,29,44,4.0,3.6666666666666665,32.5,0.0,108,0-3mo,Medium-Low,Low,2024-12-27,2024-12-29,2,4.37037037037037,1.1,3.6,1.1111111111111112,0.0,0.07029478458049887,1
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,Pro,1666,19992,monthly,True,False,False,257,73818,14,27,3.0,3.5,31.33333333333333,0.0,603,1-2yr,Low,Medium-High,,2024-12-23,8,0.4262023217247098,0.675,20.1,0.14925373134328357,33486.600000000006,0.5766871165644172,1
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,Pro,882,10584,annual,False,False,False,1053,326283,55,96,3.0,5.0,32.666666666666664,0.0,9,0-3mo,High,Medium-Low,2024-10-04,2024-12-30,1,117.0,2.4,0.3,10.0,264.59999999999997,0.06795131845841786,1
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,Basic,1121,13452,monthly,True,False,False,562,150186,22,50,2.0,5.0,20.5,0.0,53,0-3mo,Medium-High,Medium-High,,2024-11-21,40,10.60377358490566,1.25,1.7666666666666666,1.1320754716981132,1980.4333333333332,0.0,1
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,Enterprise,0,0,annual,True,False,False,670,217275,30,59,3.0,5.0,40.333333333333336,1.0,627,1-2yr,High,Low,,2024-12-30,1,1.0685805422647527,1.475,20.9,0.14354066985645933,0.0,0.7357512953367875,1
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,Pro,1470,17640,annual,True,False,False,642,159561,26,67,4.0,4.0,26.75,0.0,351,3-6mo,High,Medium-High,,2024-12-16,15,1.829059829059829,1.675,11.7,0.3418803418803419,17199.0,0.23699421965317918,1
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,Enterprise,6368,76416,annual,True,False,False,658,173232,49,68,2.0,3.0,50.5,0.0,31,0-3mo,High,High,,2024-12-24,7,21.225806451612904,1.7,1.0333333333333334,1.9354838709677418,6580.266666666667,0.012307692307692308,1
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,Basic,532,6384,annual,True,True,False,531,170826,42,51,2.0,4.0,24.5,0.0,480,1-2yr,Medium-High,Medium-Low,,2024-12-18,13,1.10625,1.275,16.0,0.125,8512.0,0.3937007874015748,1
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,Pro,735,8820,annual,True,False,False,367,106259,13,36,6.0,4.25,50.16666666666666,1.0,26,0-3mo,Low,Medium-Low,,2024-12-27,4,14.115384615384615,0.9,0.8666666666666667,6.9230769230769225,637.0,0.03089887640449438,1
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,Pro,1421,17052,annual,True,False,False,494,133559,19,42,6.0,3.5,41.66666666666666,0.0,496,1-2yr,Medium-Low,Medium-High,,2024-12-31,0,0.9959677419354839,1.05,16.533333333333335,0.36290322580645157,23493.86666666667,0.39943342776203966,1
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,Enterprise,3582,42984,monthly,True,False,False,427,137244,18,42,5.0,3.6,36.0,0.0,663,1-2yr,Medium-Low,High,,2024-12-11,20,0.6440422322775264,1.05,22.1,0.2262443438914027,79162.20000000001,0.5698529411764706,1
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,Enterprise,4378,52536,annual,False,True,False,511,157711,25,46,3.0,4.0,26.0,1.0,408,0-3mo,Medium-High,High,,2024-12-23,8,1.2524509803921569,1.15,13.6,0.22058823529411764,59540.799999999996,0.5531914893617021,1
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,Basic,0,0,annual,True,False,True,653,191849,44,63,4.0,4.666666666666667,14.25,1.0,261,0-3mo,High,Low,,2024-12-08,23,2.5019157088122603,1.575,8.7,0.4597701149425288,0.0,0.2438095238095238,1
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,Basic,152,1824,monthly,True,False,False,337,98383,20,33,9.0,4.0,31.33333333333333,1.0,156,3-6mo,Low,Low,,2024-10-30,62,2.16025641025641,0.825,5.2,1.7307692307692306,790.4,0.0243161094224924,1
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,Enterprise,3383,40596,annual,True,False,False,687,208387,37,65,3.0,3.333333333333333,31.33333333333333,0.0,52,0-3mo,High,High,2024-10-11,2024-11-24,37,13.211538461538462,1.625,1.7333333333333334,1.7307692307692306,5863.866666666667,0.05045871559633028,1
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,Basic,1634,19608,annual,True,False,False,402,127433,22,42,3.0,4.0,57.66666666666666,0.0,104,3-6mo,Medium-Low,Medium-High,2024-09-01,2024-12-22,9,3.8653846153846154,1.05,3.466666666666667,0.8653846153846153,5664.533333333334,0.1388101983002833,1
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,Pro,0,0,annual,True,False,False,324,98113,20,31,0.0,4.0,36.0,0.0,88,0-3mo,Low,Low,,2024-12-19,12,3.6818181818181817,0.775,2.933333333333333,0.0,0.0,0.03184713375796178,0
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,Enterprise,5174,62088,annual,True,False,False,488,150708,19,44,5.0,4.5,34.0,0.0,418,3-6mo,Medium-Low,High,2024-04-28,2024-12-25,6,1.167464114832536,1.1,13.933333333333334,0.3588516746411483,72091.06666666667,0.5015384615384615,1
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,Pro,931,11172,annual,True,False,True,602,171366,31,53,2.0,4.0,33.0,0.0,473,1-2yr,Medium-High,Medium-Low,,2024-12-24,7,1.2727272727272727,1.325,15.766666666666667,0.12684989429175475,14678.766666666668,0.35280898876404493,1
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,Enterprise,9751,117012,monthly,True,False,False,791,237055,37,67,4.0,5.0,49.75,0.0,613,1-2yr,High,High,,2024-12-29,2,1.2903752039151712,1.675,20.433333333333334,0.19575856443719414,199245.43333333335,0.5694444444444444,1
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,Basic,494,5928,monthly,True,False,False,538,185729,44,49,4.0,4.0,34.0,0.0,430,6-12mo,Medium-High,Medium-Low,,2024-12-19,12,1.2511627906976743,1.225,14.333333333333334,0.27906976744186046,7080.666666666667,0.4659400544959128,1
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,Enterprise,3980,47760,monthly,True,True,False,329,105214,12,31,2.0,3.5,61.5,0.0,461,3-6mo,Low,High,,2024-09-23,99,0.7136659436008677,0.775,15.366666666666667,0.1301518438177874,61159.333333333336,0.3940677966101695,1
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,Pro,1666,19992,monthly,False,False,False,540,175427,23,49,5.0,4.0,24.8,1.0,90,0-3mo,Medium-High,Medium-High,,2024-12-25,6,6.0,1.225,3.0,1.6666666666666667,4998.0,0.1464968152866242,1
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,Enterprise,3184,38208,monthly,True,False,False,424,124978,30,36,5.0,3.6666666666666665,45.4,0.0,527,1-2yr,Medium-Low,Medium-High,,2024-12-24,7,0.8045540796963947,0.9,17.566666666666666,0.2846299810246679,55932.26666666666,0.5197132616487455,1
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,Enterprise,2786,33432,monthly,True,False,False,651,186929,32,56,3.0,3.0,43.0,0.0,66,0-3mo,High,Medium-High,2024-09-01,2024-12-30,1,9.863636363636363,1.4,2.2,1.3636363636363635,6129.200000000001,0.17086330935251798,1
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,Basic,285,3420,monthly,True,False,False,693,200177,27,58,6.0,4.0,23.666666666666668,0.0,616,0-3mo,High,Low,,2024-12-26,5,1.125,1.45,20.533333333333335,0.2922077922077922,5852.000000000001,0.8529411764705882,1
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,Pro,1813,21756,monthly,True,False,False,385,125675,11,37,1.0,4.0,27.0,0.0,671,6-12mo,Medium-Low,Medium-High,,2024-12-24,7,0.5737704918032787,0.925,22.366666666666667,0.044709388971684055,40550.76666666667,1.2,1
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,Enterprise,0,0,annual,True,False,False,248,81119,13,19,7.0,4.6,40.85714285714285,0.0,233,6-12mo,Low,Low,,2024-10-09,83,1.0643776824034334,0.475,7.766666666666667,0.9012875536480687,0.0,0.16981132075471697,1
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,Basic,95,1140,annual,True,False,False,376,127515,31,38,8.0,4.25,30.75,1.0,599,1-2yr,Medium-Low,Low,,2024-12-14,17,0.6277128547579299,0.95,19.966666666666665,0.4006677796327212,1896.8333333333333,0.8252427184466019,1
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,Basic,0,0,annual,True,False,False,733,222582,53,65,4.0,4.0,64.0,0.0,190,3-6mo,High,Low,,2024-12-25,6,3.857894736842105,1.625,6.333333333333333,0.6315789473684211,0.0,0.06695778748180495,1
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,Pro,980,11760,annual,True,False,False,248,73517,10,23,5.0,4.8,44.2,0.0,24,0-3mo,Low,Medium-Low,,2024-12-15,16,10.333333333333334,0.575,0.8,6.25,784.0,0.0,1
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,Pro,2009,24108,monthly,True,False,False,647,195598,33,62,5.0,4.0,27.2,0.0,65,0-3mo,High,Medium-High,,2024-12-20,11,9.953846153846154,1.55,2.1666666666666665,2.307692307692308,4352.833333333333,0.05032467532467533,1
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,Pro,2842,34104,annual,True,False,False,706,207116,46,63,4.0,4.0,20.0,0.0,607,1-2yr,High,Medium-High,,2024-12-30,1,1.1630971993410215,1.575,20.233333333333334,0.19769357495881382,57503.13333333334,0.7303921568627451,1
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,Pro,0,0,monthly,True,False,False,493,146301,31,43,3.0,4.333333333333333,40.333333333333336,0.0,128,3-6mo,Medium-Low,Low,,2024-11-18,43,3.8515625,1.075,4.266666666666667,0.703125,0.0,0.05793991416309013,1
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,Enterprise,6766,81192,monthly,False,False,False,734,227186,38,69,1.0,3.0,36.0,0.0,658,1-2yr,High,High,,2024-12-21,10,1.115501519756839,1.725,21.933333333333334,0.04559270516717325,148400.93333333335,0.8258706467661692,1
